"Species","X","Y"
"Hypopachus variolosus",-103.809206,19.471861
"Hypopachus variolosus",-105.317787,22.222511
"Hypopachus variolosus",-89.32775,21.214013
"Hypopachus variolosus",-89.32775,21.214013
"Hypopachus variolosus",-92.017662,17.708115
"Hypopachus variolosus",-89.857741,18.3151
"Hypopachus variolosus",-89.899713,18.487829
"Hypopachus variolosus",-97.852765,20.726819
"Hypopachus variolosus",-98.759979,21.313401
"Hypopachus variolosus",-89.748969,18.18923
"Hypopachus variolosus",-89.328441,21.214127
"Hypopachus variolosus",-105.321419,22.638668
"Hypopachus variolosus",-103.39743,20.791307
"Hypopachus variolosus",-104.050153,20.536541
"Hypopachus variolosus",-89.286553,21.313578
"Hypopachus variolosus",-103.397637,20.791195
"Hypopachus variolosus",-103.397717,20.791197
"Hypopachus variolosus",-89.587637,21.265942
"Hypopachus variolosus",-87.637297,20.658732
"Hypopachus variolosus",-87.635801,20.657955
"Hypopachus variolosus",-87.632554,20.65656
"Hypopachus variolosus",-103.682037,19.421408
"Hypopachus variolosus",-87.632829,20.64701
"Hypopachus variolosus",-99.741688,18.753431
"Hypopachus variolosus",-89.243181,19.895393
"Hypopachus variolosus",-86.929054,21.044511
"Hypopachus variolosus",-89.62117,21.093499
"Hypopachus variolosus",-103.601006,19.263979
"Hypopachus variolosus",-89.639725,20.890234
"Hypopachus variolosus",-104.36418,20.59529
"Hypopachus variolosus",-103.22491,20.561507
"Hypopachus variolosus",-88.367861,18.723382
"Hypopachus variolosus",-89.617144,21.095529
"Hypopachus variolosus",-87.707771,21.479812
"Hypopachus variolosus",-88.015617,21.159413
"Hypopachus variolosus",-104.850823,21.423707
"Hypopachus variolosus",-93.269247,16.807262
"Hypopachus variolosus",-89.595633,21.06788
"Hypopachus variolosus",-93.269247,16.807262
"Hypopachus variolosus",-89.617998,21.099615
"Hypopachus variolosus",-89.617809,21.09957
"Hypopachus variolosus",-95.121872,18.37542
"Hypopachus variolosus",-90.762677,18.447554
"Hypopachus variolosus",-104.053473,20.226305
"Hypopachus variolosus",-103.538166,20.730742
"Hypopachus variolosus",-101.734871,18.945443
"Hypopachus variolosus",-98.315383,24.468953
"Hypopachus variolosus",-103.694993,22.193582
"Hypopachus variolosus",-88.791759,19.888652
"Hypopachus variolosus",-98.242883,24.50902
"Hypopachus variolosus",-99.392365,18.861012
"Hypopachus variolosus",-101.709775,20.635269
"Hypopachus variolosus",-99.741801,18.752799
"Hypopachus variolosus",-90.51242,19.733488
"Hypopachus variolosus",-103.565075,20.733418
"Hypopachus variolosus",-103.820713,19.097409
"Hypopachus variolosus",-89.771337,20.376227
"Hypopachus variolosus",-97.790419,21.286182
"Hypopachus variolosus",-105.042535,19.49652
"Hypopachus variolosus",-89.639352,21.029157
"Hypopachus variolosus",-86.85527,21.101895
"Hypopachus variolosus",-98.935574,22.266196
"Hypopachus variolosus",-97.854815,22.287031
"Hypopachus variolosus",-98.954739,22.208783
"Hypopachus variolosus",-100.16888,17.34316
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-97.990959,17.642262
"Hypopachus variolosus",-93.232637,16.841197
"Hypopachus variolosus",-90.529462,19.088294
"Hypopachus variolosus",-88.505996,18.765963
"Hypopachus variolosus",-101.696841,19.807769
"Hypopachus variolosus",-102.776892,20.789949
"Hypopachus variolosus",-87.658846,21.511445
"Hypopachus variolosus",-99.036775,18.970145
"Hypopachus variolosus",-102.846951,20.846976
"Hypopachus variolosus",-102.851309,20.845372
"Hypopachus variolosus",-97.269561,15.939042
"Hypopachus variolosus",-102.733581,20.974201
"Hypopachus variolosus",-105.039147,19.497033
"Hypopachus variolosus",-99.7773,16.995158
"Hypopachus variolosus",-89.925445,18.538717
"Hypopachus variolosus",-89.406684,18.669499
"Hypopachus variolosus",-89.406715,18.669524
"Hypopachus variolosus",-101.693724,19.807503
"Hypopachus variolosus",-89.641592,21.224277
"Hypopachus variolosus",-96.535101,19.184556
"Hypopachus variolosus",-93.14077,16.721012
"Hypopachus variolosus",-89.392116,19.271319
"Hypopachus variolosus",-102.751865,20.834828
"Hypopachus variolosus",-91.989001,18.078559
"Hypopachus variolosus",-102.752608,20.827229
"Hypopachus variolosus",-89.3921,19.2713
"Hypopachus variolosus",-98.926389,22.150556
"Hypopachus variolosus",-98.948055,22.232778
"Hypopachus variolosus",-100.890756,20.723033
"Hypopachus variolosus",-96.382188,19.594973
"Hypopachus variolosus",-98.971111,22.219167
"Hypopachus variolosus",-99.218219,18.681456
"Hypopachus variolosus",-99.233128,18.683231
"Hypopachus variolosus",-99.217319,18.67545
"Hypopachus variolosus",-99.231531,18.674236
"Hypopachus variolosus",-99.217319,18.67545
"Hypopachus variolosus",-99.217319,18.67545
"Hypopachus variolosus",-99.218892,18.675733
"Hypopachus variolosus",-99.217319,18.67545
"Hypopachus variolosus",-99.225694,18.669175
"Hypopachus variolosus",-99.218892,18.675733
"Hypopachus variolosus",-99.225656,18.667844
"Hypopachus variolosus",-99.225656,18.667844
"Hypopachus variolosus",-99.225656,18.667844
"Hypopachus variolosus",-99.225656,18.667844
"Hypopachus variolosus",-99.225656,18.669053
"Hypopachus variolosus",-99.225656,18.667844
"Hypopachus variolosus",-99.225656,18.669053
"Hypopachus variolosus",-99.218892,18.675733
"Hypopachus variolosus",-99.232428,18.671331
"Hypopachus variolosus",-99.232428,18.671331
"Hypopachus variolosus",-99.232428,18.671331
"Hypopachus variolosus",-99.232428,18.671331
"Hypopachus variolosus",-88.832985,18.476305
"Hypopachus variolosus",-88.832962,18.476412
"Hypopachus variolosus",-103.226618,20.566853
"Hypopachus variolosus",-105.044583,19.498627
"Hypopachus variolosus",-105.046289,19.497285
"Hypopachus variolosus",-88.524773,18.761829
"Hypopachus variolosus",-88.524773,18.761829
"Hypopachus variolosus",-88.524773,18.761829
"Hypopachus variolosus",-88.522278,18.768379
"Hypopachus variolosus",-88.522804,18.770422
"Hypopachus variolosus",-89.889559,18.475709
"Hypopachus variolosus",-89.302908,18.839349
"Hypopachus variolosus",-88.271922,20.642039
"Hypopachus variolosus",-88.890209,21.382993
"Hypopachus variolosus",-99.923095,25.226703
"Hypopachus variolosus",-89.447647,18.550681
"Hypopachus variolosus",-102.788849,20.38073
"Hypopachus variolosus",-90.194744,20.781647
